ID	A10R	A11R	A12R	A13R	A14R	A15R	A16R	A17R	A18R	A19R	A1R	A20R	A21R	A22R	A23R	A24R	A25R	A26R	A27R	A28R	A29R	A2R	A30R	A31R	A32R	A33R	A34R	A35R	A36R	A37R	A38R	A39R	A3R	A40R	A41R	A42R	A43R	A44R	A45R	A46R	A47R	A48R	A49R	A4R	A50R	A51R	A52R	A53R	A54R	A55R	A56R	A57R	A58R	A59R	A5R	A60R	A6R	A7R	A8R	A9R
A58R_scaffold217|length_923	41	31	121	5	9	12	13	71	30	48	0	93	165	38	34	29	20	3	10	0	20	0	33	34	53	6	33	0	2	39	9	0	77	0	129	10	95	227	0	0	0	46	12	23	105	685	161	1	796	246	0	15	616	190	16	69	39	17	2	7
A28R_scaffold49|length_1974	0	0	0	24	0	0	7	0	0	0	0	0	1	667	2	1	26	230	1	737	22	0	3	0	74	12	0	16	69	381	587	0	0	38	104	0	1	0	0	31	700	20	30	1	36	1	1	91	0	13	462	6	0	85	1	11	4	1	0	0
A42R_scaffold9|length_3742	2	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	963	1	0	0	3284	21	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
A56R_scaffold423|length_742	0	0	25	0	0	0	53	0	4	2	0	1	11	2	22	4	7	32	0	673	18	0	3	4	310	1	7	0	121	261	557	0	2	114	167	0	0	5	0	42	73	172	57	20	65	12	0	919	3	71	164	5	0	255	0	16	2	13	0	2
A49R_scaffold671|length_582	71	103	66	17	44	18	19	76	26	194	0	218	68	38	44	26	39	4	26	1	34	0	118	14	83	9	57	0	0	0	0	0	76	0	114	7	254	79	0	0	12	47	266	15	68	286	120	3	949	141	0	11	0	99	23	81	137	51	6	18
A23R_scaffold217|length_1277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4250	0	4	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A39R_scaffold241|length_716	2	0	4	1	2	1	2	2	3	4	270	7	1	1	1	2	32	0	0	0	0	138	0	1	0	511	1	403	268	10	0	992	134	224	45	0	20	5	160	0	6	4	1	41	1	0	0	0	1	1	500	16	0	11	6	7	10	1	376	3
A36R_scaffold128|length_1475	1	1	9	0	0	0	12	1	14	3	2	7	0	0	25	1	8	16	1	462	5	9	5	7	205	62	3	548	353	172	336	3	0	80	137	0	4	24	14	36	209	129	77	24	35	2	2	573	4	50	195	10	0	310	0	6	1	16	3	0
A23R_scaffold114|length_1508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4183	2	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A36R_scaffold428|length_895	5	33	0	0	7	1	1	1	1	5	176	3	1	0	2	0	12	0	13	0	0	69	2	2	0	59	4	882	897	2	0	924	18	240	43	1	18	4	475	0	7	4	0	2	1	1	1	0	3	5	212	6	0	8	1	1	5	4	24	0
A37R_scaffold1568|length_685	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	4	287	1	0	0	3686	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A40R_scaffold143|length_1750	8	7	8	2	5	3	2	6	1	9	982	11	6	7	6	4	4	0	3	0	1	123	3	1	9	44	7	14	23	1	0	5	63	2113	112	0	47	10	34	0	7	14	0	2	7	23	10	0	37	12	23	0	0	16	4	14	16	8	261	3
A49R_scaffold53|length_1172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4093	0	1	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0
A57R_scaffold5|length_2335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4052	0	2	0	1	0	0	0	0
A23R_scaffold20|length_2094	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3555	3	2	0	8	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0	2	0	0	0	2	0	0	0	0	0	9
