name	Isloated	Phylum
TF09_11AC	gut	Firmicutes
TM09_12	gut	Firmicutes
AF18_35LB	gut	Firmicutes
AF17_9	gut	Firmicutes
AF28_26	gut	Firmicutes
AM23_10LB	gut	Firmicutes
OF02_4LB	gut	Firmicutes
AF30_3	gut	Firmicutes
AF05_25	gut	Firmicutes
AF34_13	gut	Firmicutes
AM27_31LB	gut	Firmicutes
TF01_11	gut	Firmicutes
AF15_49	gut	Firmicutes
AF15_6B	gut	Firmicutes
AF16_25	gut	Firmicutes
AF23_8	gut	Firmicutes
AF43_10	gut	Firmicutes
AM42_36	gut	Firmicutes
OM08_29	gut	Firmicutes
AM29_11AC	gut	Firmicutes
AF15_31	gut	Firmicutes
AF17_2	gut	Firmicutes
AF17_21AC	gut	Firmicutes
AF23_6LB	gut	Firmicutes
AM46_21	gut	Firmicutes
AM54_14XD	gut	Firmicutes
AM54_37XD	gut	Firmicutes
OF10_22XD	gut	Firmicutes
OM05_9	gut	Firmicutes
OM07_10AC	gut	Firmicutes
OM07_9AC	gut	Firmicutes
AM09_51	gut	Firmicutes
AF02_29	gut	Firmicutes
AF12_41	gut	Firmicutes
AF20_7	gut	Firmicutes
AF21_20LB	gut	Firmicutes
AF22_10	gut	Firmicutes
AF24_2LB	gut	Firmicutes
AF27_5AA	gut	Firmicutes
AF29_8BH	gut	Firmicutes
AF32_7AC	gut	Firmicutes
AF35_15	gut	Firmicutes
AF37_7	gut	Firmicutes
AF50_3	gut	Firmicutes
AM18_55	gut	Firmicutes
AM27_28	gut	Firmicutes
AM28_20LB	gut	Firmicutes
AM43_3BH	gut	Firmicutes
AM48_13	gut	Firmicutes
OF13_4	gut	Firmicutes
OM04_7	gut	Firmicutes
OM05_5BH	gut	Firmicutes
TF06_15AC	gut	Firmicutes
TF11_13AC	gut	Firmicutes
AF36_4	gut	Firmicutes
AF37_5	gut	Firmicutes
AM22_11AC	gut	Firmicutes
AM32_2	gut	Firmicutes
AM51_4	gut	Firmicutes
OM04_12AA	gut	Firmicutes
TM06_18	gut	Firmicutes
AM49_4BH	gut	Firmicutes
OM05_6BH	gut	Firmicutes
OM05_9BH	gut	Firmicutes
AF34_10BH	gut	Firmicutes
AF36_18BH	gut	Firmicutes
AF46_12NS	gut	Firmicutes
AF46_9NS	gut	Firmicutes
AM34_9AC	gut	Firmicutes
TF08_15	gut	Firmicutes
AF15_41	gut	Firmicutes
OM02_6	gut	Firmicutes
AM39_1BH	gut	Firmicutes
